SN,Name,Province,District,Municipality/Metropolian City,Ward,Address,Coordinate,Longitude,Latitude,Long,Lat,Elevation,Total_Area,Usable_Area,Capacity,Suggested Use,Current Land Use,Catchment Area,Access_to_Site,Ownership,Special_features_of_Site,WASH_Facility,WiFi,Boundary_Wall,Electricity Line,Trees_&_Vegetation,Health_Facilities,Market_Access,Security,Helipad,Educational_Infrastructures,Issues,the_geom
1,Amar Singh Ground/School,4,39,524 4 39 1 001,10,,"E500383.702, N3120632.2",E500383.702,N3120632.2,87.00391,28.211505,832,61637.98,48728.28,13922,,,,Main Road Link Road attached,Government,Large Openspace linked with main road and Amarsingh Chowk,No(No wash facilities in the site but availabl at School),No,,,No,Yes(Sewa Hospital and Research Centre),Yes(Attached),Yes(Available),,Yes(Attached with Amarsingh High School),,0106000020E6100000010000000103000000020000003B000000DFC29E8625005540C84751222A353C4075F99689250055402AF696BA29353C40B5EAD79E25005540C62C3BC229353C405AEE4F9F250055403F26E2B129353C408E4D3BDB25005540D960638521353C40692351E625005540EFE3C0931F353C4063159A0926005540DD3EB46319353C409AB6ACA6260055409DE2ECD7FD343C40BD3E61B726005540B96996D0FC343C40C45945BB26005540E94703C3FB343C4054B23DB226005540817903B7FA343C40E8048D9C26005540D21644B4F9343C40AFD7D07A2600554079B343C2F8343C407DC2044E26005540AD58F5E7F7343C404F06721726005540D163A52BF7343C40A2B5EB9427005540E7DEA433F7343C4066A59D9127005540790A80DCEC343C400208330828005540758B8FDBD8343C40686F106228005540999B9170C1343C4096B052AA28005540F16702DBA8343C40E29C74AF28005540B8EBC7808F343C40F5801D1229005540D102987174343C40C2B2D37228005540879BB17D73343C4026EEEBF828005540F5928E906D343C40EA84A5DC2800554012C6C22166343C409B24A9C116005540F39B6CB681343C40A49DDCCE150055409A1BE67085343C40B5BB74F31400554066E7007089343C40D02CFA3014005540669197AC8D343C40020FCC881300554007840C1F92343C40233017FC12005540F64361BF96343C40DC3DD88B1200554060F045859B343C407F95D9381200554032A42C68A0343C40D9FBAF03120055401E564D5FA5343C401CB5BBEC11005540EE39B961AA343C40AD2424F4110055408E017266AF343C4092FBD3C911005540B70B5F51AF343C400AEDAEB51100554099CB394DB1343C400C52854F110055401AE62857BD343C4020F26FDE100055406D9B3850CA343C400C8BDD861000554032869D13D6343C4052301163100055407E278CACDB343C407CFCE73D100055402D8C30EDE1343C406C03C3E60F005540010386F9EE343C407EA360D30F00554032463D5FF1343C40C41EA1A60C005540CB96205D7F353C408FC939D10C005540B15416697F353C40EA3061AD22005540975FC99284353C40965E152423005540783B325980353C406A01E66124005540C98B91FE54353C40EE3CA97E25005540CE042B262E353C40580A5869250055408D2BB4202E353C40C367BC6C2500554088AF4DAA2D353C400CA2D470250055400E47715C2D353C4062F80A7625005540A3F553F92C353C40B0FD937C2500554007580E7D2C353C40DF584E842500554020901AEA2B353C40F56A7C8425005540F16C43CA2B353C40DFC29E8625005540C84751222A353C400800000043075AC60E005540CF148CDC27353C4017D333E10E005540A1E9982B23353C405BE288F60E0055400C14963123353C40E19075F30E0055409120EABB23353C40194748E90E00554070F7B38025353C40461D28DF0E00554005CE7D4527353C409098A6DB0E005540673A5CE227353C4043075AC60E005540CF148CDC27353C40
2,Bagbani,4,39,524 4 39 1 001,5,,"E497778.5, N3121913.405",E497778.5,N3121913.405,86.977359,28.223068,842,96622.47,91248.26,26070,,,,Linked Road from Melepatan Baglung Highway,Government,Most of the area is covered by Litchi and Vegetable Farming and also have small Buildings,Yes(Available at Bagbani),No,,,Yes(Fully covered),"Yes(Health Facilities at private clinic, Gandaki Metro Hospital, Metro City Hospital",Yes(Close to Melepatan Hospital),Yes(Armed Police Force within 500m),,Barahi Higher Secondary School,,0106000020E6100000010000000103000000010000004F00000019E9A84F45FE5440033493A716383C40D2A7A0DF47FE54404FA5A19C10383C40AEAFF98549FE54404B18C6C618383C407B60EC754AFE54401E900A951B383C4095E597214BFE544056CF74E81B383C4093726B804CFE54408668419F22383C40D3486FF252FE5440690E3BD513383C40AEC652DB5BFE54407325F70CFF373C40514F0FC260FE544017BA3F1CF3373C402461917461FE544027D4E797F2373C40437B2A0E64FE5440A33FDC7FEC373C40ACE47DAE65FE544015970F07E9373C408C0E577C6EFE5440615339E7D4373C409B64BBA077FE54409C6CC283BF373C40212D0C7271FE54406E2C0CDAAC373C40949052616BFE544099CEF2529B373C40A696035C6AFE5440317A1A229C373C40B0AF5D2E6AFE5440C112D2509B373C40A5A6541C6AFE5440431534829B373C40964B75036AFE54400CA22B109B373C40A1125DE569FE5440ED2729449A373C4005C03EB569FE5440652196A999373C403BC1EC9E69FE5440AB20414399373C4021CAF5B069FE5440321FDF1199373C40F0BB287C69FE54409759CB1F98373C405B93D95B68FE5440F61D805C92373C40825C231768FE54401758638591373C40CB6EEA2564FE54405238BE5786373C40DBF2372E60FE544031E7B8177B373C40E8CBC7A95AFE5440203BF03C87373C4019C778AF59FE54406C72F16389373C406D949C7C59FE544098CCE6D389373C40EDFEC66F58FE544075CA10218C373C400ED72E794EFE5440C6F68C02A3373C408D500A3C3FFE54402458B353C5373C40E41C614730FE54403D27A8A2E6373C40EC00C8C024FE54403E519563FF373C402F7ACF2F17FE544027A4190520383C40137A2AFC10FE5440B3FB82EB30383C40956571F110FE54406B6EBB0831383C40C1EAC5C210FE54408244E78631383C40AFDC676F0FFE544076433BEF34383C409FDBD02910FE54407408937D38383C4066FEF42311FE5440D249BEA943383C40677F3DC710FE54402CF7E8C447383C40CAA7E08510FE54402FD443174C383C40420FEC6210FE5440EDADCA7A50383C409014B35E10FE54402B5406E554383C4036CD3F7910FE544002976F4B59383C4052ED52B210FE5440B36288A35D383C40A952100811FE54406DD45DD261383C40CB7B12FB10FE544076B6315765383C40874B3E0611FE544073937DED68383C4036ABB92911FE5440EE84007C6C383C409932346511FE54407CF3AAFA6F383C40651627B811FE54408E30916173383C401545902312FE5440BD73B3B676383C40FC466C2B16FE5440919BDB9482383C40CAE6399F16FE54400D486B8783383C40E1AC871C17FE54400FC10B3584383C404E8C12A017FE544090F9349984383C408048722618FE5440A2CA4EB184383C406ADE2BAC18FE54405565B97C84383C40AE98C82D19FE5440F275D1FC83383C405F07EDA719FE54404E1CE73483383C40E4426F171AFE544041F3272A82383C400116C2781AFE5440CFDBB2E580383C4099CCA8701DFE5440B113303F75383C402035AC3F20FE54407604BBEB6C383C40D101F9D320FE5440A2A98AAF6B383C406C7E26ED20FE5440D56A34946B383C40C18ADFE920FE5440A905D9806B383C40F86FA09521FE5440F04CA7126A383C40DD7506A125FE5440EDF5D33660383C4047CAA96A33FE5440113BFFDE40383C400A9837BF37FE5440F8A2575936383C40137A3D9C38FE5440721502FC33383C40C45CC9123DFE5440376321A729383C4019E9A84F45FE5440033493A716383C40
3,Baghkhor and Pipal tari,5,46,524 5 46 3 001,7,,"E456392.39, N3080324.151",E456392.39,N3080324.151,86.557111,27.846923,,19596.02,19042.28,5440,,,,Link Road,Government,The site has plane areas but it has scattered trees,Yes(Temporary toilets and water facility),No,,,Yes(Plenty of tree),Yes(Lumbini Medical College and  Hospital),Yes(Very small market along the highway),Yes(within 500m),,Yes(Within 500m),,0106000020E610000002000000010300000001000000050000004C29FE5089E354402D476E1B56D73B40FBD1AFFE88E354407CD2BEE653D73B4046A0233288E35440109CAA5F55D73B4081F4718488E354402B185A9457D73B404C29FE5089E354402D476E1B56D73B40010300000001000000400000006C97DB3866E3544061F755EC8FD73B40857738206AE354405E7A5C6488D73B4051FF9F6C6DE35440CED675388CD73B40C51EA5EC6EE3544084DAA2AE86D73B408E8D02F671E354405F8D364282D73B406244805976E354401DFB8FDD7BD73B403756C99476E35440E928846F77D73B4077E196CA78E35440FA124E9471D73B40FD17D3CB78E354404AA3049471D73B407659AA3F7CE35440F94D928B67D73B40522FE73F7DE354409A2C2CDD6CD73B40E125C21280E35440CADECB8265D73B40E192DB5A81E35440108418C761D73B40F55DC5E481E354407A8EBD0361D73B409F4A9EDC82E35440EDE2944F60D73B4075CC4EC883E3544067450E9F5FD73B40F66A5CE083E354409F5A0A8D5FD73B405509929984E354407F7F702A5FD73B40D64F2A2B85E3544099EEE4D35ED73B409FE95C4286E354405B6E63405ED73B40D4A0D59586E35440FB0CED375ED73B40BCDC90E586E35440115173285ED73B408069646387E3544058BF112F5ED73B40F7D003EB87E354401A128B335ED73B405B6A580088E35440FF3426375ED73B40983CE0C187E35440E040D7225CD73B408B35B8C087E35440ABC5FC185CD73B401DB741A387E35440CF65EE1D5BD73B403FEA1A6787E35440598F5F1D59D73B40F4E9B39B86E35440BE5B285852D73B40D69BD97986E354401ABC574151D73B4093B1678485E354408521D45B49D73B40E120463283E354400B0354F43FD73B4092E0205578E35440F9FD6DAA53D73B4073E0913278E3544051D421E953D73B404E0B92BA77E35440C14FDBC254D73B40E7B5BE1975E354407487CD9357D73B404BC1153B72E354406A30BF9B59D73B403D6BAE3171E35440B1C194575AD73B40C84946C66CE35440DE1333385DD73B4074A6DF6368E3544005FBF11260D73B40D084EB4B68E35440298327B25ED73B402D0C582A64E35440D5E4933262D73B4002C238D862E354407D922B8362D73B402A4AE75460E354408642811C63D73B408C06A5905DE35440695751CB64D73B40B673D9B75CE35440D6E8F80663D73B4097C5E4745AE354407B11BE976CD73B40C6FEFAC459E35440E6EEC97F6FD73B407AD7349659E354409C8DFA7C6FD73B400FF05D2E58E35440DF205C676FD73B40C242D15B57E3544030B7B55A6FD73B40AF986F5657E35440792615686FD73B4087979EDD56E3544062534E9470D73B408D834FE456E3544076AA735276D73B401FA4D7E856E354402FA426367AD73B40E3D541E456E35440EFAE343E7BD73B4042D8AAC756E35440D5FDA7AC81D73B40E9DB230B57E35440092D3AFE8AD73B409BD7416857E35440E3350DD68ED73B406A938D0A58E354402110C78895D73B401DF6CFB758E35440436F7DB097D73B406E742A8F59E3544040C95B15A0D73B406C97DB3866E3544061F755EC8FD73B40
4,Bal Mandir,4,43,524 4 43 3 003,2,,"E3127777.8992, N460931.4724",E312777.8992,N4609314.724,84.752955,41.613598,978,1902.4,1008.05,288,,,,Linked Road,Community Based school,Small Openspace with several Office Buildings,Yes(Available at balmandir Primary School),,,,No,Yes(Daulagiri Zonal Hospital within 500m),Yes(Attached),Yes(District Police Office within500m),,Attached Primary School other Educational Institution within 500m,,0106000020E6100000010000000103000000010000001D000000B535610166E654409EF5F5E005453C40269B3F6967E65440D15A9981F5443C407A74796F67E65440703BF738F5443C40293DF3D667E65440ED553453EF443C408BDCD6FA67E6544009CF81BBED443C406EAD95FE67E654409F77854DED443C40D83D23FA67E6544025E57A98EC443C40D402820B68E65440977E81EEEB443C401EDC846568E65440B66E9F7DE8443C40E85AB96C68E65440B16E2737E8443C40F78EE36A66E6544036E57FBCE5443C400EDDB26366E654404092D103E6443C40B0CF620466E65440A27E0E8EE5443C4070ED7F0A66E654405F807545E5443C404A61E9DD63E65440566577D4E2443C40BFA335D563E654404BB71A1AE3443C40A561404D63E65440670E0D5AE7443C407FBA2DEF62E65440F076E287E9443C4084A7458161E654409421A601F2443C40B6B279F95FE65440780E2E51FB443C406A3DDEAB5FE654408C6C4E7BFD443C40AF9D60BE5FE654404B577EA1FD443C4004AB322460E6544033DEA573FE443C4073B5F5F260E65440E098AF0100453C40769D3B8E61E6544064149F4401453C40708B41D563E65440D01FDEE105453C4031E04D6365E65440E94C854808453C40389A5DB365E6544053852B8608453C40B535610166E654409EF5F5E005453C40
5,Bal Uddhan,4,43,524 4 43 3 003,1,,"E3126511.967, N461666.658",E312651.1967,N4616666.58,84.749134,41.679737,877,8358.57,7101.53,2029,,,,Attached with Baglung Kusuma Road,Kalika Bhagbati Guthi,Children Park and Picnic Spot),Yes(Available),No,,,Yes,Yes(Daulagiri Zonal Hospital within 500m),Yes(Grocery Stores Nearby),"within Baglung Bazar, District Police",,Secondary School within 500,,0106000020E61000000100000001030000000100000049000000FA5EC873D6E6544057FC487E2A423C40A68B6312D8E654408C49D22229423C4018083A20D8E65440DA7EC14729423C40A1850A53D8E6544031F33D5B2B423C40BD2673A4D8E65440CB31C6692B423C40580DAA38D9E65440A4DCA6172C423C40579937FCD9E65440A9BC651E2C423C40D2E7B696DAE654405D6FFF732A423C406C53DA96DAE65440A656D08329423C40C7A18A8FDAE65440677F3EF228423C40C0C9CD8BDAE65440C385D3A728423C4097F3F89FDAE654405300529E28423C407939E1FDDAE654408D3D0F7228423C40C68D2A12DBE65440358B786828423C406F2CDA12DBE65440F50E166828423C40465CAC15DBE65440B44C03B228423C406A73F015DBE654405BB0A4B528423C40C33E8318DBE6544096E977B128423C409119935AE2E654401DCE415424423C40D116ECB6E2E65440A1D9740625423C4083C09D85E3E65440C4094D2623423C403B7FE479E3E65440AB4801E722423C401FDA12D2E3E6544071FFF61A1F423C404C810B27E4E65440A8805F1C1F423C40135FD514E4E654404524FFAC16423C4020166314E4E65440E130835616423C40905312C0E3E654404D67065F16423C40798EA639E4E654404E3CF94115423C400061E04CE4E654407AF480C114423C40CBAAD192E4E6544069300AF30B423C40E06E4C99E4E6544083F52E220B423C4073B925E2E4E65440864F151A0A423C403FD880FCE4E6544040D588BA09423C4026CD23DEE5E65440B526C67A07423C402FA16880E5E654409225858900423C40C59B5FEDE4E65440B0CC8CA5F5413C40A1F007B8E4E654401EF63A12F5413C4073812413E2E65440338E0485F1413C4055806712E2E654403B4FED83F1413C40E15C643EDCE6544019459710F6413C404A3F6AC9DAE65440CFDEBB33F7413C405E5A4942DAE654403F2E0599F8413C40A5F41E7DD9E65440FBD655A2FA413C40249D586FD9E6544070A5C1C6FA413C400C915AB9D7E6544041CB7935FF413C40E5564146D7E654403D14AA5F00423C40972696FFD6E6544073BCBE1601423C408F30BAE6D5E6544005B610F104423C403D9F7BE5D5E65440514934DF05423C40DA33B1C1D5E6544017B027AA0A423C40F9C168BCD5E65440C0823A5F0B423C40223E5FB9D5E65440944958C70B423C40324BA5A1D5E654409F8AB3F40E423C409865A0A9D5E6544031395BFC0E423C405EC074D0D5E6544064B499210F423C40588F00DBD5E6544065E9E76F0F423C409EB2E8F3D5E654401A08D72810423C4068903DBFD5E65440444DE36F12423C40742404B7D5E65440A29EEECA12423C40A44977B4D5E65440239FBF4613423C40D3649F42D5E654409D2C8AF014423C406F1BDBCCD4E654409F60F0BD12423C40AB1282B9D4E654405C86C49D12423C4062E27E50D3E65440C9533B411D423C4004AAC1F1D2E65440CC24843E20423C400868CA60D2E65440EC3985EF26423C40D2E6874FD0E65440D03AE25D39423C4034780AD2D1E65440F237380137423C4065D5A9BCD2E65440B709D4E433423C40C9641BAAD3E65440618FF19930423C400C4DACACD4E65440E4A4EFA12D423C40543D0EBED5E65440F2AE4C6D2B423C40FA5EC873D6E6544057FC487E2A423C40
6,Bangechaur And Sahid Smriti Park,4,43,524 4 43 3 003,1,,"E461546.671, N126870.006",E461546.671,N3126870.006,86.607936,28.267251,892,54511.18,23228.5,6636,,,,Linked to Baglung-Kusuma Road,Sahid Park is managed by the Municipality and Bangechaur is community Forest),pale and sheds with trees and attached with sahid park,Yes,No,,,Yes(Few),Yes(Daulagiri Zonal Hospital within 500m),Yes(within 1km),Yes(District Police Office in 2km),,Secondary School within 500m,,0106000020E6100000010000000103000000020000003C000000918E2876D3E654404070D05EBB423C400337A45FD6E654406B4E75F5A5423C40AA3E4DA9D6E65440916B4C22A1423C40E032F9ADD6E654409F591CD4A0423C402B07B0D0D6E65440963EF48D9E423C40FBDDEBDDD6E65440DF610FB09D423C4022CF743DD7E6544022AD6E6E97423C403D5D86F0D8E654409FA94C9A84423C406DBDFE08DEE6544034EB3F1161423C4052C1C195D9E65440BD6B18C457423C406C17F72ADBE65440307D79724E423C40B3BB055ED9E65440F2CAF86D4A423C4000A2B3D0D2E654407B2453AF53423C4031658C4CD1E654409A527CF456423C40C7BA73C9CEE654407F9F8C455A423C404B4446B7CDE654408BFDD5695E423C40B3967676CBE654400F7C10886B423C405807133FC9E6544051080E7589423C40F68D417DC8E6544008F1225794423C401D9DA8D9C8E65440F493FA93A3423C40CA1B5A50C8E6544089039EDCA3423C409F8F3B1AC8E654404FC07EEDA3423C40A1A16111C8E6544002E86AA6A5423C40339D0F57C8E65440E77D78A7A5423C402B074DE4C8E65440AD430955A5423C40225C8E19C9E654404B63FB46A6423C40317BBB23C9E6544054284290A6423C406C15E518C9E65440C8E8D394A6423C403FAA6E0FC9E65440E1A12E14AB423C40A82F3F4DC8E6544032F3D99DC1423C40B1B176D6C7E654405E151217E4423C40D581D9CFC7E6544051C9ECD9E5423C40635997F9C7E6544082C7AAB7E6423C401426CD2CC8E65440BC0BE1F3E6423C40800B8923C8E65440D65D5B24E8423C4018BCF738C8E654400DBDBA26E8423C40A2C11B3AC8E65440A69F0181E8423C4032638B32C8E65440AA1EC277E9423C4014B35340C8E65440E0BF116BEA423C40C1E05641C8E6544008457ABAEA423C4017FB1E2CC8E65440475F09C9EA423C4021100D36C8E65440BB19042DEB423C408039E907C8E654402D88053AEB423C4017A259BDC7E65440FB19AD2BEC423C401E21E5C8C7E654406AA03862F1423C40FC8124F0C7E65440937EB155F3423C40B5C56A02C8E654404D564954F6423C4004543046C8E6544092CC0B06FD423C404787C21ECBE65440CD670B2123433C40E8BCCB53CCE654408667CD8A28433C40544DF75CCCE65440A8C7E8B328433C40CF0BD469CCE65440C71600A728433C40D00AC4DDD2E654405BA8A48321433C40777F64D7D2E654409D89613B21433C4011903F3CD1E654408508BA38E2423C40EBDC6D8DD1E654402B21C5C4DA423C40F723168FD1E65440A362CFA7DA423C40A260A477D2E65440E8E00BCCCA423C40D3E73DC3D2E654407EA1E66DC5423C40918E2876D3E654404070D05EBB423C400B00000063CEC4B3CBE65440257939A0A5423C40F0B68004CCE65440D8442E58A5423C4033A22D2ACCE65440E0283B48A5423C40A7CD4D2ACCE65440C8EB7094A5423C4038500C07CCE65440B27C5DA3A5423C4063CEC4B3CBE65440257939A0A5423C40265BC561CBE65440D61458E9A5423C40593E2A3FCBE654409C5004F8A5423C40FBAFD23DCBE65440658956ACA5423C409C173D5FCBE6544074FF2F9EA5423C4063CEC4B3CBE65440257939A0A5423C40
7,Barahi Ground,4,39,524 4 39 1 001,5,,"E497778.55, N3121913.453",E497778.55,N3121913.453,86.97736,28.223069,840,14304.9,14304.9,4087,,,,A Linked Road from Pokhara Baglung Highway at Melepatan,Barahi Higher Secondary School,"Large Openspace with Boundary, Water facilities",Yes(Water facilities available but Toilets not available),No,Yes,,No,Yes(Pharmacies within 500m And Metro City Hospital),Yes(Within 500m),Yes(Armed Police Force within 500m),,Barahi Higher Secondary School,,0106000020E61000000100000001030000000100000059000000D87F0E9279FE5440C05950FCB8373C40B34574D17BFE544092BE7162B2373C403431AB1E7CFE5440DD4C2191B2373C40B4442D627DFE5440D8A074D8B6373C40B1EBC86E7FFE54402AB12ECEAE373C40C16CD3807EFE5440038F89A9A6373C40DB43B79D7BFE54405F79835E8D373C401402CC1D76FE5440B17E83906B373C4006EA743877FE544024BC215769373C4031166B8076FE544049DF09D468373C40FE39097776FE5440359C23E668373C4006B13D6976FE544064965F8C68373C4098CD005276FE5440F7C002A667373C406832002876FE54406664D9E366373C4006A8EE1876FE54404501CC8166373C401284502276FE5440B544B26F66373C403DB2555876FE5440B5748BF162373C40F327CD8E75FE5440BE6F1DB95D373C4058585A6375FE5440597F294D5D373C40DC84CE3375FE54405479A8F95C373C400E0F400175FE5440474783C05C373C406DF8D6CC74FE54405D7E08A35C373C406C1DC69774FE5440A5B8E4A15C373C40BD30446374FE544083A21EBD5C373C4038DED7F16FFE544075F2F2EC64373C40E3A676BD6FFE5440BE4EFD0165373C401F38C9886FFE54408A2FEAFA64373C40679001556FFE54404CADE2D764373C4070774C236FFE54408442B29964373C4009ABCAF46EFE5440422EC24164373C40C5518ACA6EFE5440E24011D263373C4020473F706DFE5440C5DD51BD5A373C400FE111276DFE5440F5F229715A373C40CC6BA2DB6CFE5440FF9353495A373C40A7A75E8F6CFE5440F9E78F465A373C40505AB8436CFE54401A56EC685A373C400054219F63FE5440DEE4B24970373C4040848B7A63FE5440E15B31BD70373C40016AAAC361FE5440EF4E9D2375373C402F3055BF62FE54405F6D178A79373C4061BD09E262FE544075E874EA7B373C40810F643669FE544073C9412B8A373C4077A3A3A369FE5440D57B82568B373C406483143C6AFE5440FD4C85268D373C40AE995BA76AFE5440EE420AAA8E373C402DE224186BFE544000A23D7190373C4030D5977E6BFE54405E7483F591373C4054AF3DDC6BFE544091AD125E93373C407FFEA54C6CFE5440C4E129C394373C406AF312B26CFE544048C7012496373C40EED938EC6CFE54403CFF01D796373C40D9875C3F6DFE54406B42260398373C40BAB8FF936DFE544079A8980499373C40B0B568DA6DFE5440C51918DC99373C40AA9CCAFA6DFE5440826A57709A373C40C44061086EFE5440160B8F769A373C40CA727B566EFE5440846FCB469B373C40EEF7F7706EFE5440E819C7C99B373C40411F67C26EFE5440D8F21EB09C373C4001ADEF1C6FFE54404C2777C69D373C40A16D9F876FFE5440576876D69E373C4045CD090470FE544088E4033CA0373C406011EC7670FE54401EC6DCCCA1373C403E2194EF70FE54401EDD8C1BA3373C4032F1026171FE5440D7F9998CA4373C40EB3253DE71FE54405812E3EAA5373C40968F425872FE5440AD770379A7373C4092E994D272FE5440B2301BE3A8373C40AE11A35473FE5440AE54295EAA373C406A59DFCE73FE5440E7E964D7AB373C401FF6124B74FE5440DB605C49AD373C40C6D4A9BD74FE54405B6F5290AE373C4083A0A23075FE544080D8D4FCAF373C400DDDC8AF75FE544080C4267FB1373C40B148822476FE54401697E8E5B2373C40DEAA7F9B76FE54401C9B7641B4373C403649800077FE544060B8D469B5373C40EB30A47177FE54402DB40C71B6373C407B7AA9B377FE54404F9F87FEB6373C40F57DB9B477FE5440DD89CE00B7373C40859510B577FE5440822C8901B7373C405A44F87E78FE5440C3BA2C67B6373C401E68CC8E78FE5440B39C4819B6373C4073B0FAA578FE544062376B54B6373C40B14504DC78FE544028E86719B7373C403DFFE12179FE544071788090B7373C403161C33879FE54402DE3DECAB7373C40A93DEF2879FE54406302C318B8373C40D87F0E9279FE5440C05950FCB8373C40
