Id,objectid,name,y,x,the_geom,id
177,179,Police Bit,28.074173,81.6362205,0101000020E6100000C83730D6B768544010777200FD123C40,179
178,180,Police Bit,28.0590468,81.6423581,0101000020E6100000649325651C695440C03BEBB01D0F3C40,180
179,181,Police Bit,28.071575,81.6317359,0101000020E61000008CDD695C6E685440E0943CBD52123C40,181
180,182,Police Bit,28.0607901,81.6197209,0101000020E610000048C0D981A967544050EBA2F08F0F3C40,182
184,186,Police Bit,28.0526855,81.6204424,0101000020E610000060790A54B5675440105805CC7C0D3C40,186
187,189,police bit,28.0576421,81.6233942,0101000020E6100000305CC9B0E5675440301AF8A1C10E3C40,189
204,207,Police bit mid Baneshwar,27.695491,85.3374992,0101000020E610000000A33E9699555540D0FDBCB20BB23B40,207
45,46,Police booth,27.692437,85.2977524,0101000020E6100000DC9814600E535540008B1C8D43B13B40,46
147,149,"Police Chauki, Nayapool",28.2974558,83.7673165,0101000020E6100000A83FAAB61BF15440F0A03510264C3C40,149
96,97,Police Check post,27.7033486,84.4156837,0101000020E6100000E49CCE8F9A1A5540A0EF62A70EB43B40,97
162,164,Police Check Post,27.9105677,84.8840465,0101000020E610000038C8C5379438554010BFFAF61AE93B40,164
230,233,Police Check Post,28.398972,83.7007825,0101000020E61000005401D89ED9EC544050206D0723663C40,233
56,57,Police checkpost,28.8166105,83.8664761,0101000020E6100000B07C2C5874F754404088BE620DD13C40,57
86,87,Police checkpost;Check Post,28.7828628,83.7254229,0101000020E6100000A8C22B546DEE5440B04D4AB269C83C40,87
164,166,Police Karalaya,27.8803858,84.8849295,0101000020E6100000A41D57AFA238554060DAB9F660E13B40,166
64,65,police offic ghoretar,27.0214949,87.1223779,0101000020E6100000ACCC1D0AD5C7554020AF92B080053B40,65
215,218,Police office (2),29.5161567,81.8325477,0101000020E610000014E0257648755440E0B370D822843D40,218
22,23,"Police Office, Kirtipur",27.6777094,85.2750397,0101000020E61000008C631D409A5155402033FC5C7EAD3B40,23
60,61,police post,26.5291371,86.9223398,0101000020E61000002C23839D07BB554080046C8775873A40,61
130,132,Police Post,27.6812781,85.3033803,0101000020E6100000B4F734956A5355409049D83D68AE3B40,132
132,134,Police Post,26.6844564,87.0958838,0101000020E6100000A831CEF522C65540004BDD8838AF3A40,134
154,156,police post,26.5292415,86.9222874,0101000020E6100000CC2CBBC106BB5540D0E0F45E7C873A40,156
242,245,Police Post,29.6605541,81.864152,0101000020E6100000149A30444E775440D08FD1121AA93D40,245
52,53,Police station,27.9000873,84.5376592,0101000020E6100000841C22026922554060FF0C1F6CE63B40,53
80,81,police station,27.6712321,84.4384065,0101000020E6100000ACEB22DA0E1C5540E04DEEDDD5AB3B40,81
83,84,Police Station,27.6785543,85.3412105,0101000020E6100000AC629064D6555540301810BCB5AD3B40,84
84,85,police station,27.6760937,85.3379616,0101000020E610000024C5B029A155554080AA0B7A14AD3B40,85
85,86,Police Station,27.9915981,84.6272815,0101000020E610000008044E612528554060BA815FD9FD3B40,86
93,94,Police station,28.8371949,83.787083,0101000020E6100000FC9B5F915FF254407044AA6752D63C40,94
198,201,Police Station,27.6991403,85.3513667,0101000020E6100000F078C1CA7C5655405052D3DBFAB23B40,201
171,173,Police Station KoshHaat,27.3085773,86.3767514,0101000020E61000006499E7B11C985540D08202ECFE4E3B40,173
245,248,Police Station Mimi Darma,29.730444,82.0722632,0101000020E61000007029D4F59F845440B060C460FEBA3D40,248
138,140,"Police Station, Sarankot",28.2442038,83.9562229,0101000020E61000005CA788C132FD5440A0B1E423843E3C40,140
152,154,"Police Station, Sundaridanda",28.1656394,84.112588,0101000020E610000090324CA43407554060CEFC57672A3C40,154
111,112,"Police station,thimi",27.6821105,85.3914749,0101000020E6100000588CBDEC0D595540709D32CB9EAE3B40,112
183,185,Prahari Bit,28.0796457,81.6282865,0101000020E610000028BE94D835685440F0001BA963143C40,185
148,150,"Prahari Chauki , Barakilo",27.972775,84.5689721,0101000020E61000004055F4096A245540E0CA4AC807F93B40,150
149,151,"Prahari Chauki, Majwa Deurali",27.9116979,84.5429547,0101000020E6100000647F11C5BF225540C0EC980865E93B40,151
219,222,Raghechaur Police Station,28.571768,82.1998793,0101000020E610000038D48BD2CA8C5440F0703C635F923C40,222
4,5,Rangers,27.7073176,85.2925744,0101000020E610000044E6F989B9525540204926C412B53B40,5
49,50,Ranibari Police station,27.7301705,85.3179649,0101000020E6100000B8A6738959545540F0943074ECBA3B40,50
47,48,Rastriya Suchana Aayog,27.681951,85.3475686,0101000020E6100000981C5E903E56554000A43A5794AE3B40,48
170,172,Regional Police Office,27.2203618,87.6524287,0101000020E6100000D0D24E64C1E9554040F684A169383B40,172
203,206,Saamudayik Sewa Kendra Police station,28.2574235,83.7194869,0101000020E6100000E4EBC7120CEE5440D0B2A981E6413C40,206
181,183,Sainik Ilaka Police Office,28.0602765,81.6467012,0101000020E6100000C42D6E8D636954409030DB476E0F3C40,183
141,143,"Samudayak Sewa Kendra, Baaidam",28.2145448,83.9565514,0101000020E610000068B15C2338FD544020407268EC363C40,143
139,141,"Samudayak Sewa Kendra, Matepani",28.2154829,84.0039371,0101000020E6100000A00F658140005540E0B226E329373C40,141
126,128,"Samudayak Sewa Kendra, Prithivi Chowk",28.209592,83.9877959,0101000020E6100000A4414B0C38FF544070AA42D2A7353C40,128
101,102,Sankhar Police Force,27.8736556,83.9263852,0101000020E6100000849B26E549FB54403014B6E4A7DF3B40,102
48,49,Sanothimi Police Station,27.6825804,85.3719717,0101000020E610000058596362CE575540A006CD96BDAE3B40,49
218,221,Sarkena Police Station,28.6208904,82.2744636,0101000020E6100000A012C6CF90915440C0475AACF29E3C40,221
7,8,Satdobato Police Station,27.6584715,85.3248474,0101000020E610000050ADBF4CCA545540C01A969691A83B40,8
127,129,Seleghat Police Station,27.3404919,85.9850431,0101000020E6100000F0C236F20A7F5540F0F8267A2A573B40,129
119,121,Shanischare Police Station,26.6853034,87.9928089,0101000020E6100000582E572E8AFF554020432C0B70AF3A40,121
90,91,Shiv Chok,26.7295011,85.9292943,0101000020E6100000DC7DCC8E797B5540602A8895C0BA3A40,91
168,170,Shree Sasastra Prahari Bal Nepal,28.2060016,84.0101224,0101000020E6100000C4F26BD8A5005540C0E55685BC343C40,170
186,188,shree Sasastra prahari base camp,28.0516994,81.623837,0101000020E61000008C5706F2EC67544000AF002C3C0D3C40,188
224,227,Sima Prahari Chauki Lalbojhi,28.4589576,80.9540865,0101000020E6100000688AD2C00F3D5440C04ECA3E7E753C40,227
220,223,Simli Police Station,28.657621,82.3521903,0101000020E6100000B0F22E498A965440800F91D959A83C40,223
211,214,Sinja Police Station,29.3264887,81.9841713,0101000020E6100000806E9EA9FC7E5440808E70C394533D40,214
196,199,Siwai Police Chauki,26.761753,86.8788409,0101000020E6100000502CE7ED3EB85540F0EB9F3E02C33A40,199
41,42,SOCIAL POLICE SERVICE,27.6860297,85.2822864,0101000020E6100000EC73FAFA10525540B0C574A49FAF3B40,42
9,10,Someswor Police,27.434914,84.4170709,0101000020E61000004C03254AB11A554060C61C86566F3B40,10
160,162,SP office,26.4740151,87.2886129,0101000020E610000068113EA278D2554080AAB60D59793A40,162
199,202,"Sub Police Station, Tokha",27.7562498,85.3273557,0101000020E610000044505265F354554010D83F9699C13B40,202
72,73,subh chowk,26.7355907,85.9321272,0101000020E61000005827D8F8A77B5540603F11AC4FBC3A40,73
223,226,Sunahaphata Prahari Chauki,28.4631478,81.0288718,0101000020E6100000F42F1B09D94154407010B0DA90763C40,226
27,28,Sworgadwari Police Station,28.1221141,82.6734055,0101000020E61000004080611319AB54404089A3DE421F3C40,28
243,246,Tanjakot Temporary Police bit,29.6386107,81.7591405,0101000020E6100000444909C295705440A09EA6FD7BA33D40,246
206,209,Tatopani Police Station,29.2446403,82.1064327,0101000020E6100000608C19CBCF865440E08926BFA03E3D40,209
51,52,Temporary police Beat,27.7230833,85.3017347,0101000020E6100000E03E0F9F4F535540E04CB4FC1BB93B40,52
