FID,name,operator_t,isced_leve,Lat,Log,Remarks
1743,KMC School,private,secondary,27.68513516,85.33312748, 
1744,Kuleshwor Awas Secondary School,community,secondary,27.69080239,85.29310713, 
1745,Rastriya Bal Sikshya,private,secondary,27.7099362,85.3006644, 
1746,Educational Environment,private,primary,27.71305897,85.30104114, 
1747,Mamta Rani Vidyalaya,community,primary,27.6728501,85.30622205, 
1748,New Life Secondary School,private,secondary,27.65117322,85.32013227, 
1749,Khagendra New Life Special Education Secondary School,government,secondary,27.7208822,85.38091012, 
1750,Young Hearts Boarding High School,private,secondary,27.7262669,85.38238179, 
1751,Golden Rays Academic Foundation,private,secondary,27.68404209,85.28058429, 
1752,Honour International School,private,secondary,27.68611605,85.2803454, 
1753,Green Lawns Academy,private,secondary,27.68111594,85.2970655, 
1754,Gyandeep Boarding School,private,secondary,27.68837646,85.30415061, 
1755,United Academy,private,secondary,27.65886324,85.32698884, 
1757,Shree Bal Uddhar Secondary School,government,secondary,27.7625768,85.4449702, 
1758,Shree Ugratara Lower Secondary School,government,lower_secondary,27.74653717,85.46498809, 
1759,Shree Bandevi Lower Secondary School,government,lower_secondary,27.76518657,85.46929261, 
1760,Sramik Bal Bigyan Lower Secondary Community School,community,lower_secondary,27.67669006,85.31428587, 
1763,Oxford Boarding School, , ,27.7201758,85.3017867, 
1764,aptech institute, , ,27.6713666,85.3192341, 
1765,caspian college, , ,27.6727679,85.3199071, 
1766,welhams college, , ,27.6721799,85.3161397, 
1767,Patan Multiple Campus, , ,27.6785826,85.3213876, 
1768,Patan Higher Secondary School, , ,27.6787529,85.3216148, 
1769,SeaGate Institute of Technology, , ,27.6844202,85.3184703, 
1770,Sachdeva Institute, , ,27.7032639,85.3192223, 
1771,Deneb International School, , ,27.6915987,85.3318806, 
1772,Sahayogi Baikalpik Vidyalaya, , ,27.7209655,85.3316446, 
1773,Tibetan Thanka training school, , ,27.6748737,85.3248365, 
1774,Yamantaka thanka school, , ,27.6744995,85.3243351, 
1775,Saa Sushila Arts Academy, , ,27.7385565,85.343658, 
1776,New Summit School, , ,27.7038766,85.3332513, 
1777,Unilink Education, , ,27.6997965,85.3211944, 
1778,NAME, , ,27.7002281,85.3218749, 
1779,Beginners' Home academy, , ,27.7008865,85.3220186, 
1780,Kathmandu Valley Education Center, , ,27.701804,85.322144, 
1781,American Education Foundation, , ,27.7029612,85.3226367, 
1782,Rising ray bording school, , ,27.7026918,85.3230597, 
1783,CIMA CA classes, , ,27.7022079,85.3244555, 
1784,Vibrant Entrance Preparation, , ,27.7011588,85.3238198, 
1785,Universal language and computer institute, , ,27.7049624,85.3250327, 
1786,Garden of Wisdom School, , ,27.6784452,85.3410579, 
1787,Baba Education Academy, , ,27.6790867,85.3478143, 
1788,Himalayan International Kindergarden, , ,27.6739072,85.3058314, 
1789,International Playgroup and Play School, , ,27.6785823,85.3057332, 
